date,spread_stdev,spread_skew,spread_kurt,gdp_growth_stdev,gdp_growth_skew,gdp_growth_kurt,inflation_stdev,inflation_skew,inflation_kurt,debt_gdp_stdev,debt_gdp_skew,debt_gdp_kurt,current_account_stdev,current_account_skew,current_account_kurt,policy_uncertainty_stdev,policy_uncertainty_skew,policy_uncertainty_kurt,bank_nexus_stdev,bank_nexus_skew,bank_nexus_kurt,bid_ask_stdev,bid_ask_skew,bid_ask_kurt,vstoxx
1990-04-01,,,,0.7848310796067179,-1.1720291557279883,4.23130749929902,3.1908659006815396,1.2907827007139923,3.5131448871730595,,,,2.771113493687919,0.20965719555696039,2.119786085285482,,,,,,,,,,
1990-05-01,,,,0.7621819565769984,-0.9680344014086203,3.5578308196594657,2.9650096765672282,1.2192954824071762,3.269620901319439,,,,2.780025652954247,0.21044647655255586,2.1177439443245416,,,,,,,,,,
1990-06-01,,,,0.7463723349580311,-0.8065402054213845,3.186139622449871,2.753461753475369,1.1806320325332123,3.243882537217164,,,,2.7892120196695225,0.21136505299165195,2.1157788762649044,,,,,,,,,,
1990-07-01,,,,0.7378419924984831,-0.7032195750956358,3.1491626830100095,2.559772047131398,1.1934452669460407,3.52467691266617,,,,2.798669893655738,0.21240515736220109,2.1138896258990023,,,,,,,,,,
1990-08-01,,,,0.736843786322329,-0.6641467398571786,3.4042854730344922,2.3882894084277453,1.2762696736113703,4.171817126178198,,,,2.8083965318383974,0.2135590411536758,2.1120752439768875,,,,,,,,,,
1990-09-01,,,,0.7434080582249478,-0.6832466883503113,3.842570299120983,2.2441104525513667,1.4372794299244007,5.150719044224015,,,,2.8183891515952317,0.21481899723215175,2.110335068163976,,,,,,,,,,
1990-10-01,,,,0.9700977031679359,-1.0512102339859453,3.6105861081079778,3.339422576327297,1.3184771413757508,3.5868856829745583,,,,2.7787722771270245,-0.18615095504208307,1.6151040859153274,,,,,,,,,,
1990-11-01,,,,0.9746699150511763,-1.0020031578430584,3.698093098498802,3.144806548403806,1.247937719412927,3.293177915140458,,,,2.7701660441251326,-0.18988546091411876,1.604193759177091,,,,,,,,,,
1990-12-01,,,,0.9808621126045638,-0.9476325903023214,3.8122135204833225,2.9595873443163856,1.1922264727840755,3.1064946709523986,,,,2.76192620039672,-0.19363277394156406,1.59401702543977,,,,,,,,,,
1991-01-01,,,,0.9886438568075799,-0.8886010300309947,3.950501295964035,2.785639999811029,1.1603047055414568,3.074602581112565,,,,2.75405603453736,-0.19739658453168288,1.5845962613686178,,,,,,,,,,
