date,P_t_bn,MS_actual,MS_fitted,MS_tilde,MS_tilde_nopurch,purchase_effect,fundamental_component,purchase_component,sentiment_component,non_fundamental_component,alpha.(Intercept),beta_gdp_growth_stdev,beta_inflation_stdev,beta_debt_gdp_stdev,beta_current_account_stdev,beta_policy_uncertainty_stdev,beta_bank_nexus_stdev,beta_bid_ask_stdev,gamma.vstoxx,delta.P_t_bn,lambda_gdp_growth_stdev,lambda_inflation_stdev,lambda_debt_gdp_stdev,lambda_current_account_stdev,lambda_policy_uncertainty_stdev,lambda_bank_nexus_stdev,lambda_bid_ask_stdev
2005-09-01,0,0.123797835466907,1.154281847060827,0.14637929085736268,0.14637929085736268,-0,0.14637929085736268,-0,1.0079025562034643,1.0079025562034643,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2005-10-01,0,0.10178454200838444,0.2875132525690546,0.19336632885868,0.19336632885868,-0,0.19336632885868,-0,0.09414692371037459,0.09414692371037459,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2005-11-01,0,0.08809025658966577,-0.022566469325020044,0.11308105770652777,0.11308105770652777,-0,0.11308105770652777,-0,-0.1356475270315478,-0.1356475270315478,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2005-12-01,0,0.09943419585102292,-0.2458066352676349,0.1470377512979164,0.1470377512979164,-0,0.1470377512979164,-0,-0.3928443865655513,-0.3928443865655513,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2006-01-01,0,0.12204225311613848,-0.21038212013984903,0.16814707209032242,0.16814707209032242,-0,0.16814707209032242,-0,-0.37852919223017145,-0.37852919223017145,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2006-02-01,0,0.12459189544453994,-0.040946446794108526,0.14163996993086592,0.14163996993086592,-0,0.14163996993086592,-0,-0.18258641672497444,-0.18258641672497444,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2006-03-01,0,0.1293088839017765,0.004137935124081782,0.17001907045015585,0.17001907045015585,-0,0.17001907045015585,-0,-0.16588113532607407,-0.16588113532607407,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2006-04-01,0,0.1279218170830347,-0.3484694479539083,-0.6902095315408765,-0.6902095315408765,-0,-0.6902095315408765,-0,0.3417400835869682,0.3417400835869682,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2006-05-01,0,0.12645920525907411,0.11343176953668646,-0.3552006190842514,-0.3552006190842514,-0,-0.3552006190842514,-0,0.4686323886209378,0.4686323886209378,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2006-06-01,0,0.12397234260953326,0.38111491444448337,-0.16437896269757157,-0.16437896269757157,-0,-0.16437896269757157,-0,0.545493877142055,0.545493877142055,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2006-07-01,0,0.11966840172142476,0.5813518493401191,0.04781976914286812,0.04781976914286812,-0,0.04781976914286812,-0,0.533532080197251,0.533532080197251,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2006-08-01,0,0.11323346667389496,0.25516547704285353,-0.28672762210806635,-0.28672762210806635,-0,-0.28672762210806635,-0,0.5418930991509199,0.5418930991509199,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2006-09-01,0,0.11901411127436422,-0.01918869685420608,-0.4403366483271114,-0.4403366483271114,-0,-0.4403366483271114,-0,0.4211479514729053,0.4211479514729053,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2006-10-01,0,0.10823813370131864,-0.13684359658046918,-0.4014110830819275,-0.4014110830819275,-0,-0.4014110830819275,-0,0.26456748650145834,0.26456748650145834,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2006-11-01,0,0.11613871244745624,0.051409749312692876,-0.21846801183303466,-0.21846801183303466,-0,-0.21846801183303466,-0,0.26987776114572753,0.26987776114572753,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
2006-12-01,0,0.11884505966782176,0.36167361049906094,0.043168408955125415,0.043168408955125415,-0,0.043168408955125415,-0,0.3185052015439355,0.3185052015439355,4.313813262278821,1.515660307716073,0.17708010474407482,0.0599755645125125,-0.8099762039978827,-0.0014761195199183585,-121.38070809449407,249.11524130734784,0.02390980292664301,-0.00713851854602011,0.0381481294898118,0.14096177944673377,0.012511992150896697,0.03080443325889387,-4.501542301009363e-4,-3.031349837887121,-7.63399912424101
