year,MS_actual,MS_fitted,fundamental_component,purchase_component,sentiment_component,P_t_bn_mean
2005,0.10327670747899503,0.29335549875930667,0.1499661071801217,0,0.14338939157918493,0
2006,0.12078619024169814,0.08270458308145308,-0.16549484900862513,0,0.24819943209007822,0
2007,0.09845260350908717,0.4678272995950152,-0.044868228170454515,0,0.5126955277654697,0
2008,0.24014899343862184,0.5467169304950257,-0.08424270736738652,0,0.6309596378624123,0
2009,0.6274928808872138,1.0355989596405244,0.9272245938760041,0,0.10837436576452042,0
2010,1.91032881860002,1.9070383456504585,1.5451762325463547,-0.039975703857712604,0.4018378169618164,5.599999999999999
2011,4.262892439513155,3.134129018962766,2.1804258809087034,-0.08096269784277808,1.034665835896841,11.341666666666667
2012,6.154291636056883,5.410295588408312,5.04851896802137,-0.0032718210002592174,0.3650484413872008,0.45833333333333337
2013,2.5612453375400412,2.632531621332144,2.2821856918083925,0,0.3503459295237518,0
2014,1.6605156856732182,1.6313816631446678,1.0207357085250992,0,0.6106459546195685,0
2015,2.6665370189386284,2.1860894942293285,1.8602130295567263,-0.26806386381051067,0.5939403284831128,37.55175
2016,2.4325569600133314,2.137569434417159,2.070593039349944,-0.4563773881779757,0.5233537832451909,63.931666666666665
2017,1.6790872086115842,1.582837761537029,1.5040179483193308,-0.3968956823932631,0.4757154956109612,55.59916666666666
2018,1.1534651013703137,1.5847825489296368,1.3923182480246592,-0.16259463179924555,0.3550589327042231,22.777083333333334
2019,0.8972241504978442,1.0506965872453804,0.7186206203025275,-0.016215739753830182,0.34829170669668297,2.2715833333333335
2020,0.6031195171402336,1.0780068811917272,1.1042072343757825,-0.5709708366441455,0.54477048346009,79.9845
2021,0.4188810067085286,0.2776228601809525,0.684286358325661,-0.6073749017226661,0.2007114035779576,85.08416666666666
2022,0.7342608768503598,1.1541740712428903,0.4636502203088772,-0.17117989010392573,0.8617037410379388,23.97975
2023,0.5415330041635644,0.9600826241121538,0.6336440558809947,0.09482153672333063,0.23161703150782847,-13.283083333333334
2024,0.37366397470218454,0.4401884183748296,-0.5532254134827149,0.17456652227746677,0.8188473095800778,-24.454166666666666
2025,0.2963889911417418,-0.006478854736111348,-1.2157759765332388,0.2616972967283699,0.9475998250687574,-36.65988888888889
