date,MS_tilde_hi,fragmentation
2010-08-01,2.2062712616347113,0.26178614059645566
2010-09-01,3.15521555475327,0
2010-10-01,2.596171660656506,0
2010-11-01,3.062341468704614,0
2010-12-01,3.3984066806456195,0
2011-01-01,3.332002854210817,0
2011-02-01,3.4042972318074822,0
2011-03-01,4.082032954804482,0
2011-04-01,4.142596098869086,0
2011-05-01,4.586100522678876,0
2011-06-01,4.835270423755809,0
2011-07-01,5.229523639364832,0
2011-08-01,5.266700901674582,0
2011-09-01,6.469713974027626,0
2011-10-01,7.502497800889566,0
2011-11-01,6.886986104497168,0
2011-12-01,6.739145084371348,0
2012-01-01,7.99193356558102,0
2012-02-01,8.629014176738146,0
2012-03-01,7.585177522933094,0
2012-04-01,8.51635596140084,0
2012-05-01,8.731435969101378,0
2012-06-01,8.308262573513673,0
2012-07-01,8.515667377559957,0
2012-08-01,8.412107589186613,0
2012-09-01,7.978850729971799,0
2012-10-01,7.360154442569863,0
2012-11-01,6.712930537577219,0
2012-12-01,5.453096950808343,0
2013-01-01,5.2049864844400435,0
2013-02-01,4.536552147903549,0
2013-03-01,4.288014342345296,0
2013-04-01,4.223015312975395,0
2013-05-01,3.884688447811535,0
2013-06-01,3.8429941567575185,0
2013-07-01,3.6166537076480934,0
2013-08-01,3.5148790419843037,0
2013-09-01,3.3535131174244617,0
2013-10-01,3.5393792582736197,0
2013-11-01,3.5001467894109966,0
2013-12-01,3.3191042389407603,0
2014-01-01,2.929729656480119,0
2014-02-01,2.6762713659964885,0
2014-03-01,2.1817280804331514,0
2014-04-01,2.025443989545988,0
2014-05-01,2.176335578958664,0
2014-06-01,2.384022847420893,0
2014-07-01,2.2078632550880024,0
2014-08-01,2.0343879914502088,0
2014-09-01,2.047249962846787,0
2014-10-01,1.6539402944491253,0.19969085454571633
2014-11-01,1.2223500735589308,0.8912175332758154
2014-12-01,1.0489807113604337,1.1947249263563522
2015-01-01,1.1269390056787778,1.4912518711496514
2015-02-01,1.5670434813833494,1.1541893045881089
2015-03-01,2.261378145727152,0.7354362947769366
2015-04-01,2.6190878951872243,0.8364482388398233
2015-05-01,3.467173399878688,0
2015-06-01,4.0813514676260425,0
2015-07-01,4.4871110094292534,0
2015-08-01,4.480195412309976,0
2015-09-01,5.140849992960383,0
2015-10-01,5.429267063435411,0
2015-11-01,4.182074663569354,0
2015-12-01,4.058817530560342,0
2016-01-01,3.675453890398972,0
2016-02-01,3.0556223622518934,0
2016-03-01,2.099248410928449,0.5000182543776441
2016-04-01,2.43416183638496,0.15108958038564158
2016-05-01,2.284063699363342,0
2016-06-01,3.3563890005039454,0
2016-07-01,1.9851456531026823,0.4116987105029235
2016-08-01,1.1911901277941956,1.286126752965208
2016-09-01,1.2212093099049586,1.2974711524490075
2016-10-01,1.5754132262455844,0.9190531312828087
2016-11-01,1.3814568029302396,0.7615405058590334
2016-12-01,1.1381091949286317,0.898758501709177
2017-01-01,0.9057018819422964,1.1540970245242643
2017-02-01,0.8772799038862975,1.270599851199929
2017-03-01,1.4472048697336917,0.5847775820817456
2017-04-01,0.8544988004543594,1.0675585151552118
2017-05-01,0.6167788772144622,1.0454536146480693
2017-06-01,1.0572989045360888,0.5899011099689728
2017-07-01,1.3502529907591523,0.10285495443679937
2017-08-01,1.4183313832175741,0.11397719127446782
2017-09-01,1.9493007166641,0
2017-10-01,1.8440427195433216,0
2017-11-01,2.084982243647562,0
2017-12-01,1.7428187508847017,0
2018-01-01,1.8650628409501249,0
2018-02-01,1.5646359277154822,0
2018-03-01,1.4430213109385406,0
2018-04-01,1.4785608965144839,0
2018-05-01,1.6826719456554124,0
2018-06-01,1.5169021862529262,0
2018-07-01,1.4741607821078166,0
2018-08-01,1.377813105247975,0
2018-09-01,1.3410605267762492,0
2018-10-01,1.4806809205496085,0
2018-11-01,1.0642185309449435,0.2496490704389751
2018-12-01,1.145283461168039,0.11376701079131779
2019-01-01,0.9315808186106922,0.2997265593802334
2019-02-01,0.7578326373187556,0.4179212509203538
2019-03-01,0.8259408201410634,0.34028708419037734
2019-04-01,1.0977206235570605,0
2019-05-01,0.9539614417116039,0.16219252342416002
2019-06-01,1.0757680109187673,0
2019-07-01,1.0434643121878215,0
2019-08-01,0.9676047457549938,0
2019-09-01,0.9564314521012451,0
2019-10-01,1.4669231938593286,0
2019-11-01,1.34096904282941,0
2019-12-01,1.130795279682426,0
2020-01-01,0.9484251620899523,0
2020-02-01,0.7386000283167085,0
2020-03-01,0.6560634056255837,0.13329371925044708
2020-04-01,1.1919521092115697,0
2020-05-01,0.6817679121075405,0.13262194261983618
2020-06-01,0.49005984570811323,0.1435870401996212
2020-07-01,0.37805012538591953,0.20700227095286783
2020-08-01,0.450097458981426,0.0994397872957789
2020-09-01,0.3776902350760105,0.1710006935291709
2020-10-01,0.40229150039305184,0.10588623506129069
2020-11-01,0.4087088553884962,0.058666563821859086
2020-12-01,0.6084710591587212,0
2021-01-01,0.6096641727066645,0
2021-02-01,0.5859329803412476,0
2021-03-01,0.6078367342165666,0
2021-04-01,0.8304847717623702,0
2021-05-01,0.4954492958234323,0
2021-06-01,0.42726537440394047,0
2021-07-01,0.2754691732122809,0.11256889619098098
2021-08-01,0.23595459393412826,0.15393415125890153
2021-09-01,0.27092910814465526,0.11950586517917627
2021-10-01,0.9327059634311914,0
2021-11-01,0.9720696398942783,0
2021-12-01,1.2208221419322236,0
2022-01-01,1.1912292403463929,0
2022-02-01,0.9376091598358476,0
2022-03-01,1.0952062494340717,0
2022-04-01,1.533360263131104,0
