coefficient,mean,sd,min,max
alpha,3.0991986892139893,9.318028102404513,-16.771007039273574,17.96236564606232
beta_gdp_growth_stdev,0.5197764714616218,0.7996056912708205,-1.372346221394163,2.7190616837925203
beta_inflation_stdev,0.5279195084773114,2.2449412994971163,-4.810529338639964,5.920132879511467
beta_debt_gdp_stdev,0.04276075381673004,0.23392451553064014,-0.24536279052022786,0.48159199752088666
beta_current_account_stdev,-0.04579499789978831,0.6460677515873304,-0.9454913786639962,1.9824648737076789
beta_policy_uncertainty_stdev,0.001802258526138193,0.002745304864547361,-0.002225259640966381,0.012766273670454605
beta_bank_nexus_stdev,-101.46211485103736,138.96541055943825,-443.5339095635356,204.57488051925029
beta_bid_ask_stdev,53.06852227875923,86.60792463903304,-107.5028824770371,313.47914927461863
gamma,0.036002552443668116,0.03919183757284215,-0.02275764600116919,0.1566679086285415
lambda_gdp_growth_stdev,-0.08763883040905078,0.1104467935342362,-0.41410329391848755,0.13533453175015336
lambda_inflation_stdev,-0.02058424539562821,0.2774606752001343,-0.8955202192101556,0.5393319313928255
lambda_debt_gdp_stdev,-0.001791131762298423,0.00887166659477604,-0.033680342257815785,0.01865399334955618
lambda_current_account_stdev,-0.04010647184713416,0.11114528799495561,-0.2940142768882153,0.31645224780724823
lambda_policy_uncertainty_stdev,-6.971608777853145e-5,4.326420760581927e-4,-0.0013450206561959868,0.0013565529007358093
lambda_bank_nexus_stdev,-17.8498099281595,36.23951830600015,-133.97455705698871,14.238528026702463
lambda_bid_ask_stdev,-2.0667251269714946,5.492264588252156,-19.24741036566268,20.183055974618895
