date,alpha,beta_gdp_growth_stdev,beta_inflation_stdev,beta_debt_gdp_stdev,beta_current_account_stdev,beta_policy_uncertainty_stdev,beta_bank_nexus_stdev,beta_bid_ask_stdev,gamma,lambda_gdp_growth_stdev,lambda_inflation_stdev,lambda_debt_gdp_stdev,lambda_current_account_stdev,lambda_policy_uncertainty_stdev,lambda_bank_nexus_stdev,lambda_bid_ask_stdev,MS_actual,MS_fitted,MS_tilde,MS_tilde_se,MS_tilde_lo,MS_tilde_hi,non_fundamental_component,Rsq,AdjRsq
2010-11-01,0.9743322260737817,0.9963418990336843,0.9299160980332951,0.07139955265895054,-0.47105213951016617,0.008559244775881145,-61.933572029957695,209.38192835648894,-0.006378998853498888,0.014200357890295954,0.19721573008407609,-0.006849296350064379,0.05850442923087738,-4.235087390260206e-4,5.407560391694883,0.47083383678155627,2.8724233507771983,2.2789168998717435,2.4331435379037,0.314598965400457,1.803945607102786,3.062341468704614,-0.15422663803195658,0.9112720164494583,0.8810238402390465
2010-12-01,0.5775688547747465,1.1289542480662336,0.8690037193265315,0.1168104875477889,-0.5396532724665302,0.009195727005825733,-74.53685789905116,210.45846250537764,-0.011383292903224183,0.010081328011276118,0.2064460486719306,-0.009650967953416863,0.06417425230318956,-4.369724699282451e-4,6.209648976315598,-0.15124856584448876,2.868929669204733,2.5635486314886786,2.792859917613865,0.30277338151587724,2.1873131545821103,3.3984066806456195,-0.22931128612518625,0.9192930455496289,0.8917793110779114
2011-01-01,-0.09399376074241801,1.2726074984125666,0.737026761985701,0.19564755695538347,-0.6586337299682066,0.005540222822667025,-94.42170274796182,212.86463846287037,-0.012728409501751026,9.455736810373529e-5,0.21919356227981696,-0.01376688968907452,0.0701358949255471,-2.8043893577107856e-4,7.887524917230417,-1.5883292855307813,2.8170190493624365,2.4602388038709453,2.7399871059255116,0.2960078741426525,2.1479713576402064,3.332002854210817,-0.27974830205456636,0.9225765866343874,0.8961822411688376
2011-02-01,-0.3792668068402803,1.2596173018021832,0.7434876607808297,0.23282598629131104,-0.7155549679864049,0.004629155084372811,-101.82817872786842,205.72977665237778,-0.015271513085671207,-2.649323704941185e-4,0.21628886663102423,-0.015554149879157998,0.0721186120021107,-2.3564343424201619e-4,8.538669010436797,-1.422072741572788,2.7989637952774906,2.548711441182019,2.8289694791145124,0.28766387634648505,2.2536417264215425,3.4042972318074822,-0.2802580379324935,0.92832959705056906,0.9038965051359903
2011-03-01,-0.9678140891860754,0.5909113085919019,2.053234190907958,0.2835073235920045,-0.808432860201097,0.003470419927829557,-107.80560975201486,164.77252055865898,-0.012128777007177871,0.0371912559841346,0.03221905017571328,-0.014777882374954254,0.06869937881782956,1.032855042721733e-4,10.46970228764385,2.1992983354130864,3.1688456225057675,2.9012375069700567,3.4184331808330715,0.33179988698570506,2.7548334068616613,4.082032954804482,-0.5171956738630148,0.943062362206155,0.9236518038673442
2011-04-01,-0.967169680617782,0.7576156493858938,1.933203712914418,0.28812971279391136,-0.8029393447798351,0.00219724942932008,-115.6284912660797,184.7787037543586,-0.014817131203402977,0.023526297152343247,0.051608226540841726,-0.015761759990531733,0.07059073277566201,1.4495101932410177e-4,11.378593787462243,-1.1240225986573833,3.534361252249997,3.4441930935996465,3.59892324619444,0.2718364263373232,3.0552503935197937,4.142596098869086,-0.1547301525947935,0.9528589466452416,0.9367881330015739
2011-05-01,-1.4218530687896485,0.810719443948009,1.780791409220733,0.33169565818398933,-0.8541737411490675,-5.962897109439287e-4,-123.84258198510793,181.56283521640708,-0.014309465451200392,0.018319149058500662,0.0575658027598064,-0.017346050993572386,0.07120821693716294,2.6195206920549987e-4,12.15946802587205,-0.99294979836088,4.238791355211685,3.704792377551541,4.000309738972111,0.29289539185338254,3.4145189552653457,4.586100522678876,-0.2955173614205697,0.9539374728412293,0.9382343385825574
2011-06-01,-2.692492374007631,0.7903039836158119,1.4679312064079835,0.3464234874938531,-0.8110380778924178,-0.0010615082552842868,-96.41169117663972,163.25700515902716,2.9181004289225027e-6,0.026555078846431424,0.04019051421490783,-0.01112283879012716,0.07325676351857638,2.810324788200735e-4,13.788680907598764,1.5234429392776672,4.578855779522412,4.085271406189004,4.159210469310894,0.33802997722245737,3.4831505148659794,4.835270423755809,-0.07393906312189014,0.958716862107407,0.9446430650985685
2011-07-01,-3.5234060210252065,0.7026087089276303,1.306026969622238,0.3365695012329175,-0.7307025809685389,-0.0013351877924981945,-65.68056164760269,180.0490300993768,0.003692479304051886,0.025424302457488907,0.03999203692387676,-0.009096129055766988,0.07076580432073258,2.501628512429552e-4,13.81541016825046,-1.8904934848676722,4.646314873768493,4.476926008226343,4.503117981723827,0.3632028288205023,3.7767123240828226,5.229523639364832,-0.026191973497484256,0.9679091566081401,0.9569690963609152
2011-08-01,-4.139202026637119,0.71570094397306006,0.9285953967816434,0.3089286315489761,-0.636225014499042,0.0010740500631643245,-31.50435806951981,182.86103525226906,0.00838080301684752,0.02727455658094196,0.05692310571991464,-0.004703994905982134,0.06937765862429632,7.63252556698032e-5,13.11774856161963,-1.8147559131039361,4.512897793251792,4.474035662168225,4.704071799175138,0.2813145512497218,4.1414426966756945,5.266700901674582,-0.2300361370069135,0.9722718945822544,0.9628191313716593
2011-09-01,-4.241219779106314,0.6706927824543216,0.8009552160544221,0.30310895144063577,-0.6168395977457202,0.0018465358443512136,-19.04279062032796,180.56067819930925,0.006283617597552133,0.031053638065692033,0.06964374980011617,-0.004368790930980009,0.06911819884796015,2.647624925059297e-6,12.485419088596332,-1.509149341376331,5.026119449530158,5.0264513108470155,5.819917749298367,0.3248981123646297,5.170121524569107,6.469713974027626,-0.7934664384513512,0.9759111704501305,0.9676990694672205
2011-10-01,-4.576110712623489,0.6173683593388832,0.8670351715352097,0.29761065862192765,-0.576602524071269,0.001309510682276503,-7.688683758672385,192.59252853833848,0.0051967288354755675,-0.005678634244031614,0.0421788290781575,-0.004854441782681169,0.05806622033426013,1.593315805277943e-4,12.760682392326599,-5.650059031758265,5.011208223180705,5.345110823670345,6.7381810534209325,0.3821583737343168,5.973864305952299,7.502497800889566,-1.3930702297505873,0.9761336636551468,0.9679974126284923
