date,smp_mn,pspp_mn,pepp_mn,total_sovereign_mn,any_active
2005-01-01,0.0,0.0,0.0,0.0,0
2005-02-01,0.0,0.0,0.0,0.0,0
2005-03-01,0.0,0.0,0.0,0.0,0
2005-04-01,0.0,0.0,0.0,0.0,0
2005-05-01,0.0,0.0,0.0,0.0,0
2005-06-01,0.0,0.0,0.0,0.0,0
2005-07-01,0.0,0.0,0.0,0.0,0
2005-08-01,0.0,0.0,0.0,0.0,0
2005-09-01,0.0,0.0,0.0,0.0,0
2005-10-01,0.0,0.0,0.0,0.0,0
2005-11-01,0.0,0.0,0.0,0.0,0
2005-12-01,0.0,0.0,0.0,0.0,0
2006-01-01,0.0,0.0,0.0,0.0,0
2006-02-01,0.0,0.0,0.0,0.0,0
2006-03-01,0.0,0.0,0.0,0.0,0
2006-04-01,0.0,0.0,0.0,0.0,0
2006-05-01,0.0,0.0,0.0,0.0,0
2006-06-01,0.0,0.0,0.0,0.0,0
2006-07-01,0.0,0.0,0.0,0.0,0
2006-08-01,0.0,0.0,0.0,0.0,0
2006-09-01,0.0,0.0,0.0,0.0,0
2006-10-01,0.0,0.0,0.0,0.0,0
2006-11-01,0.0,0.0,0.0,0.0,0
2006-12-01,0.0,0.0,0.0,0.0,0
2007-01-01,0.0,0.0,0.0,0.0,0
2007-02-01,0.0,0.0,0.0,0.0,0
2007-03-01,0.0,0.0,0.0,0.0,0
2007-04-01,0.0,0.0,0.0,0.0,0
2007-05-01,0.0,0.0,0.0,0.0,0
2007-06-01,0.0,0.0,0.0,0.0,0
2007-07-01,0.0,0.0,0.0,0.0,0
2007-08-01,0.0,0.0,0.0,0.0,0
2007-09-01,0.0,0.0,0.0,0.0,0
2007-10-01,0.0,0.0,0.0,0.0,0
2007-11-01,0.0,0.0,0.0,0.0,0
2007-12-01,0.0,0.0,0.0,0.0,0
2008-01-01,0.0,0.0,0.0,0.0,0
2008-02-01,0.0,0.0,0.0,0.0,0
2008-03-01,0.0,0.0,0.0,0.0,0
2008-04-01,0.0,0.0,0.0,0.0,0
2008-05-01,0.0,0.0,0.0,0.0,0
2008-06-01,0.0,0.0,0.0,0.0,0
2008-07-01,0.0,0.0,0.0,0.0,0
2008-08-01,0.0,0.0,0.0,0.0,0
2008-09-01,0.0,0.0,0.0,0.0,0
2008-10-01,0.0,0.0,0.0,0.0,0
2008-11-01,0.0,0.0,0.0,0.0,0
2008-12-01,0.0,0.0,0.0,0.0,0
2009-01-01,0.0,0.0,0.0,0.0,0
2009-02-01,0.0,0.0,0.0,0.0,0
2009-03-01,0.0,0.0,0.0,0.0,0
2009-04-01,0.0,0.0,0.0,0.0,0
2009-05-01,0.0,0.0,0.0,0.0,0
2009-06-01,0.0,0.0,0.0,0.0,0
2009-07-01,0.0,0.0,0.0,0.0,0
2009-08-01,0.0,0.0,0.0,0.0,0
2009-09-01,0.0,0.0,0.0,0.0,0
2009-10-01,0.0,0.0,0.0,0.0,0
2009-11-01,0.0,0.0,0.0,0.0,0
2009-12-01,0.0,0.0,0.0,0.0,0
2010-01-01,0.0,0.0,0.0,0.0,0
2010-02-01,0.0,0.0,0.0,0.0,0
2010-03-01,0.0,0.0,0.0,0.0,0
2010-04-01,0.0,0.0,0.0,0.0,0
2010-05-01,35500.0,0.0,0.0,35500.0,1
2010-06-01,19800.0,0.0,0.0,19800.0,1
2010-07-01,5055.5,0.0,0.0,5055.5,1
2010-08-01,499.0,0.0,0.0,499.0,1
2010-09-01,867.0,0.0,0.0,867.0,1
2010-10-01,1578.4999999999766,0.0,0.0,1578.4999999999766,1
2010-11-01,3900.0000000000055,0.0,0.0,3900.0000000000055,1
2010-12-01,6299.999999999997,0.0,0.0,6299.999999999997,1
2011-01-01,3000.0000000000005,0.0,0.0,3000.0000000000005,1
2011-02-01,1000.0,0.0,0.0,1000.0,1
2011-03-01,-799.9999999999972,0.0,0.0,-799.9999999999972,0
2011-04-01,-600.0000000000085,0.0,0.0,-600.0000000000085,0
2011-05-01,-1199.9999999999886,0.0,0.0,-1199.9999999999886,0
2011-06-01,-1000.0,0.0,0.0,-1000.0,0
2011-07-01,99.99999999999432,0.0,0.0,99.99999999999432,1
2011-08-01,41599.99999999999,0.0,0.0,41599.99999999999,1
2011-09-01,40900.00000000001,0.0,0.0,40900.00000000001,1
2011-10-01,17000.0,0.0,0.0,17000.0,1
2011-11-01,29800.00000000001,0.0,0.0,29800.00000000001,1
2011-12-01,8599.999999999995,0.0,0.0,8599.999999999995,1
2012-01-01,7199.999999999989,0.0,0.0,7199.999999999989,1
2012-02-01,200.000000000017,0.0,0.0,200.000000000017,1
2012-03-01,-5100.000000000023,0.0,0.0,-5100.000000000023,0
2012-04-01,0.0,0.0,0.0,0.0,0
2012-05-01,-2099.9999999999945,0.0,0.0,-2099.9999999999945,0
2012-06-01,-799.999999999983,0.0,0.0,-799.999999999983,0
2012-07-01,0.0,0.0,0.0,0.0,0
