year,MS_actual,MS_fitted,fundamental_component,purchase_component,sentiment_component,P_t_bn_mean,delta_mean
2010,2.642772191828302,2.2716188538969844,1.94722327602731,-0.06003314347614381,0.384428721345818,2.3799999999999963,-0.027665744367011778
2011,4.262892439513155,4.069558412052968,4.49887848149347,-0.08637353538064801,-0.3429465340598538,11.341666666666667,-0.011142099871741277
2012,6.154291636056883,6.337964141827631,6.4844405377651055,-0.017326260997526714,-0.12915013493994798,0.45833333333333337,-0.001363330990641154
2013,2.5612453375400412,3.1873652300733073,2.6007365064689316,0,0.5866287236043758,0,-0.00643408115218408
2014,1.6605156856732182,1.8421540754447308,0.9045526359239356,0,0.9376014395207952,0,0.002427592100488705
2015,2.6665370189386284,3.019462805949388,1.7884432441220175,-0.015129574693680661,1.246149136521051,37.55175,-0.0035632469210542046
2016,2.4325569600133314,2.341071531478117,0.39837048175566925,-0.0024697820404038207,1.9451708317628515,63.931666666666665,1.3468709406916287e-4
2017,1.6790872086115842,1.5877762063009269,-0.06318714722843088,0.6054068173016769,1.0455565362276809,55.59916666666666,0.010984818017072823
2018,1.1534651013703137,1.113822683502055,0.1318138316823075,0.3597203374856391,0.6222885143341085,22.777083333333334,0.015582965687904876
2019,0.8972241504978442,1.0361219446798158,0.2733628579456142,0.025834947894804054,0.7369241388393974,2.2715833333333335,0.013188714587289273
2020,0.6031195171402336,0.5919865772932625,-0.2486447189605331,0.4211850853689149,0.41944621088488077,79.9845,0.006157859110109728
2021,0.4188810067085286,0.47061804558924136,-0.18441121132836255,0.3897720807674588,0.2652571761501451,85.08416666666666,0.0046151839749675
2022,0.7342608768503598,0.7657469250001423,0.7549681157085605,0.060063190433986904,-0.04928438114240511,23.97975,0.002039209185410231
2023,0.5415330041635644,0.6287093886059852,0.5482579097619134,-0.03318754324451503,0.11363902208858692,-13.283083333333334,0.002194751665716193
2024,0.37366397470218454,0.40088763555764056,0.25173135916939454,-0.0203728488620041,0.16952912525025007,-24.454166666666666,8.973188479286895e-4
2025,0.2963889911417418,0.33383899540999734,0.058710846732302584,0.007354706530857108,0.2677734421468376,-36.65988888888889,-2.1340745753789113e-4
