lag,rmse_fitted_vs_actual,rmse_tilde_vs_actual,rmse_tilde_nopurch_vs_actual,delta_mean,delta_sd,delta_pct_negative,n_windows,n_params,model
0,0.4226663570388449,0.9712798086288539,1.1268077276485318,-0.00237905164020417,0.0207808068649317,31.868131868131865,182,17,Model 2 (lag = 0)
1,0.44549199805746564,0.9281656969993597,1.0404801390193081,0.0015845863025886686,0.009265412579226546,32.417582417582416,182,17,Model 2 (lag = 1)
3,0.4372846285223106,0.9428149918377791,1.0765125585900104,0.0070916890840046955,0.00785243161119168,9.340659340659341,182,17,Model 2 (lag = 3)
6,0.4467165910473725,1.044234103451379,1.0556062118585372,0.008122011157236117,0.012087101505020724,26.256983240223462,179,17,Model 2 (lag = 6)
12,0.4242733812659892,0.8937366251193715,0.9979404302230672,0.005223824055516681,0.009086321564489856,23.699421965317917,173,17,Model 2 (lag = 12)
NA,0.463070171312418,0.9517447836162626,NA,NA,NA,NA,182,16,Model 1 (no purchases)
