year,MS_actual,MS_fitted,fundamental_component,purchase_component,sentiment_component,P_t_bn_mean,delta_mean
2010,2.642772191828302,2.229627776990734,1.7080154189800123,-0.08074782837659587,0.6023601863873171,2.628899999999996,-0.03446446624921909
2011,4.262892439513155,4.073390398127594,4.30564503268319,-0.1832038134831664,-0.049050821072429494,11.533333333333333,-0.020437909201969365
2012,6.154291636056883,6.32676252696344,6.503543318872749,-0.01145793183486378,-0.1653228600744452,-0.2583333333333328,0.0012840711229196468
2013,2.5612453375400412,3.010481890331348,1.7909227666127412,0,1.2195591237186072,0,-0.05722918450725017
2014,1.6605156856732182,1.835595494541579,0.7296884610194989,0,1.1059070335220802,0,-0.0077798324634161834
2015,2.6665370189386284,3.2310265764665247,1.6288566930547914,0.34829075736169374,1.2538791260500393,41.244166666666665,9.87207869292646e-4
2016,2.4325569600133314,2.3206255588191285,0.4118425932625905,-0.046287009493908744,1.9550699750504468,64.82525,-8.124864953706008e-4
2017,1.6790872086115842,1.5678105239122542,-0.1801611723601355,0.722129506345732,1.0258421899266577,54.86183333333333,0.01355472036282387
2018,1.1534651013703137,1.1361088353835804,-0.040481460211937215,0.32459453760161305,0.8519957579939046,20.0085,0.015875957545029167
2019,0.8972241504978442,1.0055617075495866,0.20128822176185546,0.022275509555034288,0.7819979762326967,2.2344166666666667,0.012675181623981393
2020,0.6031195171402336,0.5957068784265207,-0.16177515378405624,0.598802820458661,0.15867921175191602,85.19033333333333,0.007394159363355003
2021,0.4188810067085286,0.4854996136812544,-0.3041081154206407,0.5824607600089986,0.20714696909289648,84.03241666666666,0.0068918988157495665
2022,0.7342608768503598,0.7641330451437426,0.693139021538657,0.0767221839719964,-0.005728160366910827,18.992416666666667,0.0032464104038153123
2023,0.5415330041635644,0.63639964294595,0.5631942556784328,-0.03672329046137174,0.10992867772888888,-13.950666666666667,0.002460164575409107
2024,0.37366397470218454,0.3984526800355652,0.2574273823993846,-0.012253866293448672,0.1532791639296293,-25.943,4.7016774904011917e-4
2025,0.2963889911417418,0.3290893857536592,0.05955413607177783,0.010552172337789139,0.2589830773440922,-36.409333333333336,-4.034876035530681e-4
