coefficient,mean,sd,min,max
alpha,3.743728368813123,10.24424999076402,-16.76374708789522,24.11634588062275
beta_gdp_growth_stdev,0.27293218945981934,0.6446732304690502,-0.8760849688060224,2.908982649722176
beta_inflation_stdev,0.5037001055127756,1.6826979946634144,-4.878900733942357,4.154393099651084
beta_debt_gdp_stdev,0.038666928860253545,0.23639347281775427,-0.23765462268136361,0.4684816192651613
beta_current_account_stdev,-0.2223379771317457,0.6711237117127793,-1.233727436976856,2.0210946999690647
beta_policy_uncertainty_stdev,0.001441426624623436,0.0028532961042752616,-0.002546392016107599,0.012956062078607009
beta_bank_nexus_stdev,-98.28040116319309,137.15363678262818,-481.8200592120629,172.74163043255513
beta_bid_ask_stdev,45.183128711944185,85.5447574523919,-117.53224256282992,310.05337682804816
gamma,0.04050531558205904,0.042681761078098714,-0.033535480671594606,0.15617272019943707
lambda_gdp_growth_stdev,-0.09373423480147876,0.13222314581392566,-0.4194338442526546,0.14675377392618347
lambda_inflation_stdev,-0.03581229413357031,0.25351962396860983,-0.857805858818132,0.3619960013256002
lambda_debt_gdp_stdev,-0.001540489461737157,0.007944819449309777,-0.033201033420243914,0.01758763723714521
lambda_current_account_stdev,-0.06698324368216181,0.11530536899865652,-0.309977126508852,0.3227943638567458
lambda_policy_uncertainty_stdev,7.567591314546922e-5,4.235725535355788e-4,-0.0013508397919409416,0.0013684072675749076
lambda_bank_nexus_stdev,-19.971418348516096,36.90344361042425,-133.7962775406849,13.54281475975831
lambda_bid_ask_stdev,-3.433044919536211,6.358291850104017,-19.439822052428077,26.008801916479555
delta,-0.00237905164020417,0.0207808068649317,-0.06959568449163409,0.03631397858380019
