year,MS_actual,MS_fitted,fundamental_component,purchase_component,sentiment_component,P_t_bn_mean,delta_mean
2010,2.642772191828302,2.2716188538969844,1.94722327602731,-0.06003314347614381,0.384428721345818,4.759999999999993,-0.013832872183505889
2011,4.262892439513155,4.069558412052968,4.49887848149347,-0.08637353538064801,-0.3429465340598538,22.683333333333334,-0.005571049935870639
2012,6.154291636056883,6.337964141827631,6.4844405377651055,-0.017326260997526714,-0.12915013493994798,0.9166666666666667,-6.81665495320577e-4
2013,2.5612453375400412,3.1873652300733073,2.6007365064689316,0,0.5866287236043758,0,-0.00321704057609204
2014,1.6605156856732182,1.8421540754447308,0.9045526359239356,0,0.9376014395207952,0,0.0012137960502443526
2015,2.6665370189386284,2.991010331592169,1.7513412556509453,0.017636744083177298,1.2220323318580464,37.55175,-0.0013324646428146808
2016,2.4325569600133314,2.369479921045561,0.25666650509368255,0.18295949207833878,1.9298539238735393,63.931666666666665,0.0032454327245212476
2017,1.6790872086115842,1.5873192938128287,-0.07007369593037212,0.6076258136264022,1.0497671761167986,55.59916666666666,0.011015950536964235
2018,1.1534651013703137,1.113822683502055,0.1318138316823075,0.3597203374856391,0.6222885143341085,22.777083333333334,0.015582965687904876
2019,0.8972241504978442,1.0361219446798158,0.2733628579456142,0.025834947894804054,0.7369241388393974,2.2715833333333335,0.013188714587289273
2020,0.6031195171402336,0.5885235696620297,-0.2124597336807219,0.3795612582390218,0.42142204510372977,138.31808333333333,0.004421531858053032
2021,0.4188810067085286,0.4679215398194205,-0.10876860684999683,0.3038893700060683,0.272800776663349,155.7665,0.0019821438300323506
2022,0.7342608768503598,0.7699626607089523,0.821829962594946,0.030224106073820117,-0.0820914079598138,37.69325,6.818330321537192e-4
2023,0.5415330041635644,0.6325712417595614,0.538002275101015,-0.01478847670851357,0.10935744336706002,-13.298166666666667,9.27143587856438e-4
2024,0.37366397470218454,0.3997481368703854,0.23997887998796455,-0.00938399977177667,0.16915325665419753,-27.484333333333332,3.999706141238002e-4
2025,0.2963889911417418,0.33191486948749493,0.05783025853069443,0.014665614962394203,0.25941899599440627,-51.946222222222225,-2.9366714257193733e-4
