CODE;COUNTRY;SUB-CHAPTER;TITLE;UNIT;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
FRA.1.0.319.0.UDGGL;France;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20.1746;21.5128;21.4205;21.0245;22.2404;25.5791;26.9219;29.3450;30.9588;31.5277;33.8425;33.7152;34.4350;35.5535;36.3396;40.0874;46.4885;49.7684;56.1059;59.9984;61.4250;61.3474;60.4965;58.8824;58.3439;60.2580;64.4127;65.9391;67.3830;64.6108;64.5355;68.7783;83.0389;85.2569;87.8344;90.6040;93.4132;94.8887;95.5797;97.9568;98.3186;98.0597;98.0971;116.5185;111.8927                                                                                                                                                                                                                                                             
HRV.1.0.319.0.UDGGL;Croatia;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22.6333;25.5300;24.9319;22.9335;29.2133;35.5818;36.6242;36.7981;38.1792;40.3095;41.2593;38.7472;37.3534;39.2810;48.6662;57.7913;64.3693;70.1222;81.1896;84.6881;84.3137;80.8024;77.7565;74.7165;73.2363;88.6133;83.3872                                                                                                                                                                                                                                                                                                                                                        
ITA.1.0.319.0.UDGGL;Italy;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;31.7953;29.9336;28.7905;26.8476;26.6785;27.7109;32.3737;31.9473;34.3091;34.9216;35.8590;40.5092;46.0121;48.9230;48.6237;54.8685;54.5603;53.6002;57.6457;56.4597;54.3916;56.6595;61.1740;67.1804;72.4632;78.2133;82.1399;85.8799;87.4355;89.7488;91.5863;94.7558;101.3048;110.9738;116.8863;119.3622;119.1093;116.7821;114.1269;113.2895;109.0258;108.8864;106.3605;105.4946;105.1009;106.5575;106.7430;103.8926;106.1562;116.6022;119.2010;119.6953;126.4963;132.4585;135.3686;135.2827;134.7822;134.1451;134.8084;134.8039;158.8770;153.6233                                                                                                                                             
CYP.1.0.319.0.UDGGL;Cyprus;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49.0433;50.2864;54.1211;55.6702;55.7865;55.7358;57.3221;60.5193;63.8374;64.7663;63.4368;59.2606;54.0322;45.5491;54.2909;56.4339;65.9394;80.3389;103.9535;109.2206;107.4996;103.3722;93.8842;100.5605;95.5085;115.7025;105.0220                                                                                                                                                                                                                                                                                                                                                  
LVA.1.0.319.0.UDGGL;Latvia;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13.9288;13.2955;10.6749;9.0487;12.0936;12.1100;13.8660;13.0438;14.1461;14.6562;11.9485;10.0774;8.4885;18.6385;36.9348;48.0650;43.8681;42.4143;40.2548;41.5550;37.2767;40.8614;39.2520;37.2241;36.8962;43.1006;43.6763                                                                                                                                                                                                                                                                                                                                                           
LTU.1.0.319.0.UDGGL;Lithuania;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.5203;13.9127;15.3714;16.5390;22.6997;23.4886;22.8948;22.1376;20.3660;18.6674;17.6261;17.2427;15.8733;14.5647;27.9508;36.3111;37.2331;39.7943;38.7332;40.5738;42.5510;39.7154;39.1306;33.8493;36.2514;48.4686;48.4042                                                                                                                                                                                                                                                                                                                                                      
LUX.1.0.319.0.UDGGL;Luxembourg;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26.6454;26.8097;23.8191;19.3894;15.7832;17.1814;15.5888;15.7810;14.5754;13.4760;13.0969;13.6537;13.5348;14.3137;14.2488;13.5738;13.1600;11.5028;9.1609;7.4997;6.2017;5.3668;6.3436;7.9235;7.2708;9.7892;9.5521;9.3861;9.0656;7.9576;7.4647;7.6712;7.4295;7.4504;7.9053;8.0224;8.2991;8.2006;15.3570;16.1465;20.1522;19.0049;21.9974;23.6873;22.7428;21.9862;20.0938;22.3478;20.9962;22.0618;26.3830;25.7380                                                                                                                                                                                                                                            
HUN.1.0.319.0.UDGGL;Hungary;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;84.1429;71.4352;62.3294;60.5184;60.4033;55.7054;52.2534;55.5794;58.0984;58.9385;60.6416;64.5039;65.6537;71.8428;78.2165;80.6409;80.8123;78.5576;77.3554;76.8006;76.1525;75.4975;72.9027;70.2329;66.3444;75.0248;73.5260                                                                                                                                                                                                                                                                                                                                                        
MLT.1.0.319.0.UDGGL;Malta;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34.3632;38.6761;46.6026;51.1878;62.0718;60.8958;65.2373;63.1990;69.0410;71.9186;70.0363;64.4785;62.2599;62.6073;67.6488;67.4611;70.1689;67.7647;68.3674;63.3576;58.0201;55.5155;50.3208;45.6407;43.1205;50.6698;50.7660                                                                                                                                                                                                                                                                                                                                                          
NLD.1.0.319.0.UDGGL;Netherlands;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38.7369;38.5313;38.3745;39.5050;41.2230;43.4897;46.8321;52.3629;58.3357;61.7793;66.9910;68.7662;71.0982;73.6163;73.6692;73.8339;73.5715;74.3155;75.4013;72.7694;73.0925;71.3419;65.7650;62.6650;58.5654;52.0653;49.4398;48.7843;49.9782;50.2832;49.7986;45.1940;42.9812;54.6867;56.7670;59.2468;61.6956;66.2139;67.6557;67.8468;64.6321;61.8875;56.9069;52.3881;48.5967;62.1273;57.6020                                                                                                                                                                                                                                                
AUT.1.0.319.0.UDGGL;Austria;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18.5386;17.4488;16.7359;16.7379;16.8629;22.9116;26.2622;28.5906;32.2102;34.0148;35.4781;37.1832;39.4867;43.7226;46.2269;48.1220;52.3956;56.2016;57.4135;56.6861;56.2803;56.4852;56.3768;61.0104;64.1291;68.3205;68.2596;63.4934;63.8590;66.6905;66.1242;66.7290;66.7280;65.8529;65.1894;68.6425;67.3090;65.0313;68.6985;79.8540;82.6967;82.4444;81.9201;81.2662;84.0475;84.8942;82.9153;78.2832;73.9586;70.3665;78.8356;75.8218                                                                                                                                                                                                                           
POL.1.0.319.0.UDGGL;Poland;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;47.5715;42.4051;42.2957;38.4336;38.9785;36.4532;37.3321;41.7787;46.6305;45.1144;46.6070;47.2543;44.4960;46.7171;49.8145;53.5032;54.5036;54.0647;56.0252;50.7882;51.2926;54.2657;50.6259;48.8429;45.9686;58.4536;58.2527                                                                                                                                                                                                                                                                                                                                                         
PRT.1.0.319.0.UDGGL;Portugal;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14.2698;14.1872;20.1366;25.7664;28.2349;31.4037;35.2141;31.0468;39.3043;42.9874;46.6937;51.2628;59.3929;59.7698;57.2166;56.8103;55.3556;56.0191;58.5108;52.5534;57.3899;60.2306;62.2148;63.3122;58.7155;55.6157;55.4056;54.1931;57.3802;60.0437;63.8973;67.0995;72.2491;73.6794;72.7280;75.6425;87.7991;100.2145;114.4031;129.0351;131.4298;132.9407;131.1792;131.5057;126.1430;122.0043;117.7470;131.5633;124.3948                                                                                                                                                                                                                             
ROM.1.0.319.0.UDGGL;Romania;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.6118;10.6229;15.0595;16.8006;21.7219;22.4867;25.8694;24.8207;22.1093;18.9452;15.9052;12.4236;11.9492;12.3362;21.7807;29.6336;33.9666;37.0129;37.5921;39.2162;37.7710;37.3206;35.1043;34.7006;35.2433;46.1645;54.6556                                                                                                                                                                                                                                                                                                                                                         
SVN.1.0.319.0.UDGGL;Slovenia;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18.2410;21.5612;22.0583;22.7303;23.7105;25.9183;26.0624;27.3579;26.7775;26.8972;26.3987;26.0610;22.8480;21.7860;34.5263;38.2693;46.4578;53.5612;70.0057;80.2988;82.5874;78.6692;74.1217;70.4252;66.1251;83.7470;79.8913                                                                                                                                                                                                                                                                                                                                                       
SVK.1.0.319.0.UDGGL;Slovakia;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21.5928;30.6356;32.9889;33.9175;47.0505;50.4525;51.1128;45.2969;43.2423;41.7152;34.7316;31.4270;30.3454;28.5988;36.3609;40.9885;43.4641;51.7537;54.7073;53.5072;51.8871;52.0244;51.3146;49.3997;47.9966;59.4555;59.9429                                                                                                                                                                                                                                                                                                                                                       
FIN.1.0.319.0.UDGGL;Finland;02 Based on ESA 2010 and former definitions (linked series);General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) and former definitions (linked series) ;(Percentage of GDP at current prices (excessive deficit procedure)) ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.4253;10.3108;9.3827;7.6543;6.0851;6.5032;6.1008;7.7651;10.9656;11.1233;11.2101;11.4981;13.7934;15.2915;15.1178;15.7747;16.3862;17.6015;16.4970;14.2320;13.7941;21.8599;39.2182;54.1420;56.1439;55.1512;55.3057;52.2151;46.8268;44.0547;42.4547;40.9236;40.1795;42.7482;42.6416;39.9297;38.1117;33.9041;32.5607;41.5314;46.9047;48.2712;53.6225;56.2292;59.8259;63.6417;63.1759;61.2932;59.6373;59.3586;69.4466;69.6053
