iso3,country,vintage,forecast_year,debt_gdp
NLD,Netherlands,2007-Oct,2009,42.3
NLD,Netherlands,2008-Oct,2008,48.6
NLD,Netherlands,2008-Oct,2009,48.3
NLD,Netherlands,2008-Oct,2010,48.7
NLD,Netherlands,2009-Oct,2009,63.8
NLD,Netherlands,2009-Oct,2010,69.4
NLD,Netherlands,2009-Oct,2011,73.9
PRT,Portugal,2005-Oct,2005,66.3
PRT,Portugal,2005-Oct,2006,69.8
PRT,Portugal,2005-Oct,2007,72.6
PRT,Portugal,2006-Oct,2006,65.6
PRT,Portugal,2006-Oct,2007,66.4
PRT,Portugal,2006-Oct,2008,66.8
PRT,Portugal,2007-Oct,2007,65.6
PRT,Portugal,2007-Oct,2008,65.8
PRT,Portugal,2007-Oct,2009,65.5
PRT,Portugal,2008-Oct,2008,64.5
PRT,Portugal,2008-Oct,2009,66.4
PRT,Portugal,2008-Oct,2010,68.6
PRT,Portugal,2009-Oct,2009,74.9
PRT,Portugal,2009-Oct,2010,82.0
PRT,Portugal,2009-Oct,2011,88.2
