vintage,vintage_year,vintage_month,forecast_year,iso3,country,subject_code,subject_descriptor,units,value
1992-Apr,1992,Apr,1993,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,-3.577307055383975
1992-Apr,1992,Apr,1993,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.3383169918980857
1992-Apr,1992,Apr,1993,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-5.893842196112188
1992-Apr,1992,Apr,1993,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,0.6392202010593883
1992-Apr,1992,Apr,1993,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.8040673447226219
1992-Apr,1992,Apr,1993,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,
1992-Apr,1992,Apr,1993,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,5.184050298311465
1992-Apr,1992,Apr,1993,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.1103198382321025
1992-Oct,1992,Oct,1993,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.5623807043913661
1992-Oct,1992,Oct,1993,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,2.008645259724375
1992-Oct,1992,Oct,1993,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.40315659753737054
1992-Oct,1992,Oct,1993,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.9563746138170806
1992-Oct,1992,Oct,1993,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.4311267364989873
1992-Oct,1992,Oct,1993,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.030727045967501913
1992-Oct,1992,Oct,1993,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-5.893842196112188
1992-Oct,1992,Oct,1993,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,2.7426968236023237
1992-Oct,1992,Oct,1993,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,-2.368491920616728
1992-Oct,1992,Oct,1993,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,
1992-Oct,1992,Oct,1993,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,3.7478899979911677
1992-Oct,1992,Oct,1993,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.1103198382321025
1993-Apr,1993,Apr,1994,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.8403436772200084
1993-Apr,1993,Apr,1994,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,2.252483189317182
1993-Apr,1993,Apr,1994,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.2496574375720246
1993-Apr,1993,Apr,1994,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,-2.041079809225827
1993-Apr,1993,Apr,1994,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.2431993967349806
1993-Apr,1993,Apr,1994,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,0.25360721673202463
1993-Apr,1993,Apr,1994,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-2.8418610315896067
