lag,include_P,rmse_fitted_vs_actual,rmse_tilde_vs_actual,rmse_tilde_nopurch_vs_actual,r_squared_mean,r_squared_median,r_squared_min,r_squared_max,adj_r_squared_mean,adj_r_squared_median,adj_r_squared_min,adj_r_squared_max,delta_mean,delta_sd,delta_pct_negative,n_windows,n_params,model
0,TRUE,0.42644492840325204,0.9922341181096541,1.1144077306278053,0.9141216234702914,0.9248357375914629,0.7115399978721949,0.978549457667569,0.8821668787150508,0.8968676399510771,0.6042060435920814,0.9705678605206178,5.577548673105489e-5,0.011970073604655709,32.967032967032964,182,17,Model 2 (lag = 0)
1,TRUE,0.4526196934439459,0.932735603049921,1.0538412566826532,0.9108027620994306,0.9224877693787508,0.7179823713759439,0.9785171360364883,0.8776130921829397,0.8936460091475882,0.6130455793297835,0.9705235122361118,0.00236527350059268,0.0068772029914871665,29.67032967032967,182,17,Model 2 (lag = 1)
3,TRUE,0.4510592645971995,0.9317878016720955,1.1007659993662087,0.910266881514146,0.9210425869173465,0.7109321443079825,0.9789910013747621,0.8768778141705724,0.8916630843749638,0.6033720119574644,0.9711736995607202,0.005362216332326234,0.004770728006534226,5.4945054945054945,182,17,Model 2 (lag = 3)
6,TRUE,0.4589803678947177,1.0390546628258777,1.0690258379754425,0.9033033729680824,0.9225267288426154,0.708968971557701,0.9789624280671698,0.8673232326771363,0.8936994651561467,0.6006783563233572,0.9711344943247214,0.0042779428371133715,0.005897854408581255,23.463687150837988,179,17,Model 2 (lag = 6)
12,TRUE,0.42349985341307467,0.8797259786181089,0.9786271004953597,0.9040215409125039,0.9185292284600942,0.7275931511654391,0.9811633140774891,0.868308625903203,0.8882145227708269,0.6262324632269978,0.9741543146644618,0.002973653372005346,0.005109423432399798,24.85549132947977,173,17,Model 2 (lag = 12)
NA,NA,0.463070171312418,0.9517447836162626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,16,Model 1 (no purchases)
