date,MS_actual,MS_fitted,MS_tilde,MS_tilde_se,MS_tilde_lo,MS_tilde_hi,non_fundamental_component,alpha.(Intercept),beta_gdp_growth_stdev,beta_inflation_stdev,beta_debt_gdp_stdev,beta_current_account_stdev,beta_policy_uncertainty_stdev,beta_bank_nexus_stdev,beta_bid_ask_stdev,gamma.vstoxx,lambda_gdp_growth_stdev,lambda_inflation_stdev,lambda_debt_gdp_stdev,lambda_current_account_stdev,lambda_policy_uncertainty_stdev,lambda_bank_nexus_stdev,lambda_bid_ask_stdev
2005-09-01,0.123797835466907,1.340621020930177,0.4024263195911013,0.241398166506778,-0.0803700134224547,0.8852226526046574,0.9381947013390757,5.368831152205197,1.5689684019230759,0.27483312829270984,0.03311951997331578,-0.8419480453909761,3.787020137122103e-4,-127.21221824105507,250.68211849777737,0.01307601924135767,0.044730010570122616,0.14630925980594772,0.013649631276716446,0.0315389509314287,-4.190920716902836e-4,-4.859870466631061,-8.06875279997669
2005-10-01,0.10178454200838444,0.4105886126351447,0.4437495534472866,0.29262887513324154,-0.14150819681919646,1.0290073037137697,-0.03316094081214194,5.368831152205197,1.5689684019230759,0.27483312829270984,0.03311951997331578,-0.8419480453909761,3.787020137122103e-4,-127.21221824105507,250.68211849777737,0.01307601924135767,0.044730010570122616,0.14630925980594772,0.013649631276716446,0.0315389509314287,-4.190920716902836e-4,-4.859870466631061,-8.06875279997669
2005-11-01,0.08809025658966577,0.1576738295443228,0.37887790841781754,0.3016933721889905,-0.22450883596016347,0.9822646527957986,-0.22120407887349475,5.368831152205197,1.5689684019230759,0.27483312829270984,0.03311951997331578,-0.8419480453909761,3.787020137122103e-4,-127.21221824105507,250.68211849777737,0.01307601924135767,0.044730010570122616,0.14630925980594772,0.013649631276716446,0.0315389509314287,-4.190920716902836e-4,-4.859870466631061,-8.06875279997669
2005-12-01,0.09943419585102292,-0.027914269009071124,0.430769366034256,0.30601385535514036,-0.18125834467602475,1.0427970767445367,-0.4586836350433271,5.368831152205197,1.5689684019230759,0.27483312829270984,0.03311951997331578,-0.8419480453909761,3.787020137122103e-4,-127.21221824105507,250.68211849777737,0.01307601924135767,0.044730010570122616,0.14630925980594772,0.013649631276716446,0.0315389509314287,-4.190920716902836e-4,-4.859870466631061,-8.06875279997669
2006-01-01,0.12204225311613848,-0.04598789095562594,0.43331367844516055,0.321760424780429,-0.21020717111569742,1.0768345280060185,-0.4793015694007865,5.368831152205197,1.5689684019230759,0.27483312829270984,0.03311951997331578,-0.8419480453909761,3.787020137122103e-4,-127.21221824105507,250.68211849777737,0.01307601924135767,0.044730010570122616,0.14630925980594772,0.013649631276716446,0.0315389509314287,-4.190920716902836e-4,-4.859870466631061,-8.06875279997669
2006-02-01,0.12459189544453994,0.11648977542230787,0.41068816506081607,0.29979729051705745,-0.18890641597329882,1.0102827460949309,-0.2941983896385082,5.368831152205197,1.5689684019230759,0.27483312829270984,0.03311951997331578,-0.8419480453909761,3.787020137122103e-4,-127.21221824105507,250.68211849777737,0.01307601924135767,0.044730010570122616,0.14630925980594772,0.013649631276716446,0.0315389509314287,-4.190920716902836e-4,-4.859870466631061,-8.06875279997669
2006-03-01,0.1293088839017765,0.16979306654779824,0.42205107675332076,0.28414828244367357,-0.14624548813402638,0.9903476416406679,-0.2522580102055225,5.368831152205197,1.5689684019230759,0.27483312829270984,0.03311951997331578,-0.8419480453909761,3.787020137122103e-4,-127.21221824105507,250.68211849777737,0.01307601924135767,0.044730010570122616,0.14630925980594772,0.013649631276716446,0.0315389509314287,-4.190920716902836e-4,-4.859870466631061,-8.06875279997669
2006-04-01,0.1279218170830347,-0.2612890053432339,-0.5325306909107823,0.3181240902431281,-1.1687788713970386,0.10371748957547389,0.2712416855675484,5.368831152205197,1.5689684019230759,0.27483312829270984,0.03311951997331578,-0.8419480453909761,3.787020137122103e-4,-127.21221824105507,250.68211849777737,0.01307601924135767,0.044730010570122616,0.14630925980594772,0.013649631276716446,0.0315389509314287,-4.190920716902836e-4,-4.859870466631061,-8.06875279997669
2006-05-01,0.12645920525907411,0.11006859138630072,-0.1944961703075121,0.31310075351191424,-0.8206976773313406,0.4317053367163164,0.3045647616938128,5.368831152205197,1.5689684019230759,0.27483312829270984,0.03311951997331578,-0.8419480453909761,3.787020137122103e-4,-127.21221824105507,250.68211849777737,0.01307601924135767,0.044730010570122616,0.14630925980594772,0.013649631276716446,0.0315389509314287,-4.190920716902836e-4,-4.859870466631061,-8.06875279997669
2006-06-01,0.12397234260953326,0.30519743524917003,-0.0036095609855992805,0.3372516598835406,-0.6781128807526805,0.6708937587814819,0.3088069962347693,5.368831152205197,1.5689684019230759,0.27483312829270984,0.03311951997331578,-0.8419480453909761,3.787020137122103e-4,-127.21221824105507,250.68211849777737,0.01307601924135767,0.044730010570122616,0.14630925980594772,0.013649631276716446,0.0315389509314287,-4.190920716902836e-4,-4.859870466631061,-8.06875279997669
